gene,disease_mean,control_mean,fold_change,log2fc,t_statistic,p_value,cohens_d,disease_n,control_n,p_adjusted,significant,highly_significant,category
LOC399900,6.897775050520001,4.284121057105263,2.6136539934147383,2.6136539934147383,11.180052818556923,7.816114034556132e-19,2.871443993535758,75,19,1.4548914663922783e-14,True,True,Highly Significant + Large Effect
FOS,15.090751363733334,12.234486036315792,2.8562653274175425,2.8562653274175425,10.920667345947104,2.704483010546093e-18,2.8048243747,75,19,2.5170623379152485e-14,True,True,Highly Significant + Large Effect
JUN,12.014220950453335,9.714657068052631,2.2995638824007045,2.2995638824007045,10.191406363022125,9.054352852907861e-17,2.6175236433774973,75,19,4.2321079181896456e-13,True,True,Highly Significant + Large Effect
RHOB,7.4562965778266665,5.732270190789474,1.7240263870371928,1.7240263870371928,10.190491498056753,9.094462056924134e-17,2.617288672796201,75,19,4.2321079181896456e-13,True,True,Highly Significant + Large Effect
SPRYD5,2.4966722893066664,5.062308110736843,-2.565635821430176,-2.565635821430176,-10.030600373756839,1.9699786738136714e-16,-2.5762228195357744,75,19,7.333836606873536e-13,True,True,Highly Significant + Large Effect
SRGN,12.540740609813332,11.28536027786842,1.2553803319449113,1.2553803319449113,9.585689050311146,1.6985086594026137e-15,2.4619534177630302,75,19,5.2693400310200414e-12,True,True,Highly Significant + Large Effect
IL4,4.5915478001466665,6.985194296631579,-2.3936464964849122,-2.3936464964849122,-8.913982556956878,4.40082506077358e-14,-2.2894347716471857,75,19,1.1702422525891345e-10,True,True,Highly Significant + Large Effect
ZBTB7B,9.911348766140001,9.400380112526316,0.5109686536136859,0.5109686536136859,8.795523118197996,7.806808158133802e-14,2.2590100814044685,75,19,1.8164490881937823e-10,True,True,Significant
DUSP1,14.529497869866667,12.457261821578948,2.072236048287719,2.072236048287719,8.744085250796667,1.0011661967642613e-13,2.24579896712917,75,19,2.070634176285551e-10,True,True,Highly Significant + Large Effect
NACC2,11.6829673776,10.719607762526316,0.963359615073685,0.963359615073685,8.681867481478013,1.3524499384600353e-13,2.229819182158502,75,19,2.2885911958631905e-10,True,True,Significant
SOCS3,9.370167792266665,7.395828920026315,1.9743388722403497,1.9743388722403497,8.695359256639321,1.2670780228492823e-13,2.2332843604879615,75,19,2.2885911958631905e-10,True,True,Highly Significant + Large Effect
JUNB,13.126679872719999,11.792007210973685,1.334672661746314,1.334672661746314,8.660996248291642,1.4959643443878472e-13,2.2244586907419306,75,19,2.3204900255362823e-10,True,True,Highly Significant + Large Effect
